Nombre,Posicion,Edad,Altura,Origen,Equipo,Partidos_jugados,Titutlar,Minutos,Goles,Asistencias,G+A,G-PK,Goles_penalti,Penaltis_tirados,Amarillas,Rojas,Goles_esperadospor_ocasion,Conducciones,Pases,Altura_cm,GA_por_90
Michele Cerofolini,Portero,25,"1,88m",it ITA,Frosinone,8,7,675,0,0,0,0,0,0,1,0,0.0,0.0,0.0,188,0.0
Caleb Okoli,Defensa central,22,"1,91m",it ITA,Frosinone,34,32,2914,0,1,1,0,0,0,9,0,0.6,22.0,118.0,191,0.03088538091969801
Ilario Monterisi,Defensa central,22,"1,90m",it ITA,Frosinone,24,16,1469,2,2,4,2,0,0,1,0,1.1,4.0,47.0,190,0.2450646698434309
Simone Romagnoli,Defensa central,34,"1,93m",it ITA,Frosinone,33,30,2715,1,1,2,1,0,0,6,0,1.2,2.0,47.0,193,0.06629834254143646
Mateus Lusuardi,Defensa central,20,"1,90m",br BRA,Frosinone,4,3,219,0,0,0,0,0,0,1,0,0.1,2.0,12.0,190,0.0
Riccardo Marchizza,Lateral izquierdo,26,"1,86m",it ITA,Frosinone,13,13,1148,0,4,4,0,0,0,1,0,0.4,6.0,36.0,186,0.313588850174216
Emanuele Valeri,Lateral izquierdo,25,"1,80m",it ITA,Frosinone,16,14,1178,0,1,1,0,0,0,3,0,0.9,38.0,41.0,180,0.07640067911714771
Anthony Oyono,Lateral derecho,23,"1,84m",ga GAB,Frosinone,16,14,1198,0,1,1,0,0,0,4,0,0.1,35.0,33.0,184,0.07512520868113522
Pol Lirola,Lateral derecho,26,"1,83m",es ESP,Frosinone,25,18,1536,2,1,3,2,0,0,1,0,1.3,30.0,65.0,183,0.17578125
Enzo Barrenechea,Pivote,23,"1,86m",ar ARG,Frosinone,36,32,2811,0,1,1,0,0,0,10,0,0.6,10.0,155.0,186,0.032017075773746
Luca Mazzitelli,Mediocentro,28,"1,84m",it ITA,Frosinone,29,26,2210,5,0,5,5,0,0,6,1,2.3,18.0,167.0,184,0.20361990950226244
Abdou Harroui,Mediocentro,26,"1,82m",nl NED,Frosinone,18,13,1019,3,3,6,2,1,1,2,0,3.1,43.0,38.0,182,0.5299313052011776
Mehdi Bourabia,Mediocentro,32,"1,83m",ma MAR,Frosinone,10,3,200,0,0,0,0,0,0,1,0,0.1,1.0,7.0,183,0.0
Nadir Zortea,Interior derecho,25,"1,87m",it ITA,Frosinone,14,14,1258,1,5,6,1,0,0,3,0,0.4,31.0,42.0,187,0.4292527821939587
Reinier,Mediocentro ofensivo,22,"1,85m",br BRA,Frosinone,22,13,1059,2,2,4,2,0,0,3,0,1.3,10.0,32.0,185,0.3399433427762039
Luca Garritano,Mediocentro ofensivo,30,"1,72m",it ITA,Frosinone,12,5,485,0,0,0,0,0,0,1,0,0.7,6.0,23.0,172,0.0
Francesco Gelli,Mediocentro ofensivo,27,"1,73m",it ITA,Frosinone,27,16,1561,0,0,0,0,0,0,3,0,0.7,42.0,61.0,173,0.0
Giuseppe Caso,Extremo izquierdo,25,"1,72m",it ITA,Frosinone,14,2,417,0,0,0,0,0,0,2,0,0.3,15.0,20.0,172,0.0
Jaime Báez,Extremo izquierdo,29,"1,78m",uy URU,Frosinone,11,6,500,1,0,1,1,0,0,1,0,0.5,12.0,29.0,178,0.18
Demba Seck,Extremo derecho,23,"1,90m",sn SEN,Torino,9,5,425,0,0,0,0,0,0,1,0,0.3,23.0,12.0,190,0.0
Walid Cheddira,Delantero centro,26,"1,87m",ma MAR,Frosinone,36,24,2120,7,1,8,6,1,1,0,0,9.0,31.0,22.0,187,0.33962264150943394
Kaio Jorge,Delantero centro,22,"1,82m",br BRA,Frosinone,20,8,812,3,0,3,2,1,2,2,0,5.4,6.0,11.0,182,0.33251231527093594
Marvin Cuni,Delantero centro,22,"1,88m",al ALB,Frosinone,22,6,534,1,0,1,1,0,0,0,0,1.3,6.0,11.0,188,0.16853932584269662
Nicola Leali,Portero,31,"1,93m",it ITA,Genoa,3,2,176,0,0,0,0,0,0,1,0,0.0,0.0,0.0,193,0.0
Daniele Sommariva,Portero,26,"1,85m",it ITA,Genoa,1,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,185,0.0
Radu Drăgușin,Defensa central,22,"1,91m",ro ROU,Genoa,19,19,1710,2,1,3,2,0,0,1,0,1.0,6.0,29.0,191,0.15789473684210525
Johan Vásquez,Defensa central,25,"1,85m",mx MEX,Genoa,37,32,2850,1,1,2,1,0,0,6,0,1.9,29.0,81.0,185,0.06315789473684211
Alan Matturro,Defensa central,19,"1,89m",uy URU,Genoa,6,1,106,0,0,0,0,0,0,0,0,0.1,0.0,4.0,189,0.0
Mattia Bani,Defensa central,30,"1,88m",it ITA,Genoa,27,27,2306,2,0,2,2,0,0,9,0,1.2,5.0,37.0,188,0.07805724197745012
Giorgio Cittadini,Defensa central,22,"1,93m",it ITA,Monza,1,0,15,0,0,0,0,0,0,1,0,0.0,1.0,1.0,193,0.0
Alessandro Vogliacco,Defensa central,25,"1,86m",it ITA,Genoa,20,14,1169,0,1,1,0,0,0,4,0,0.4,8.0,49.0,186,0.07698887938408897
Davide Biraschi,Defensa central,29,"1,82m",it ITA,Genoa,1,1,90,1,0,1,1,0,0,0,0,0.1,0.0,5.0,182,1.0
Aarón Martín,Lateral izquierdo,27,"1,78m",es ESP,Genoa,22,17,1376,0,1,1,0,0,0,4,1,0.2,28.0,35.0,178,0.06540697674418604
Ridgeciano Haps,Lateral izquierdo,31,"1,75m",sr SUR,Genoa,16,7,773,0,1,1,0,0,0,0,0,0.1,13.0,13.0,175,0.1164294954721863
Djed Spence,Lateral derecho,23,"1,84m",eng ENG,Genoa,16,8,859,0,0,0,0,0,0,1,0,0.2,17.0,25.0,184,0.0
Stefano Sabelli,Lateral derecho,31,"1,76m",it ITA,Genoa,32,30,2429,0,1,1,0,0,0,5,0,0.8,69.0,88.0,176,0.03705228489090161
Emil Bohinen,Pivote,25,"1,89m",no NOR,Genoa,5,0,56,0,0,0,0,0,0,0,0,0.0,1.0,3.0,189,0.0
Milan Badelj,Pivote,35,"1,86m",hr CRO,Genoa,33,32,2535,1,3,4,1,0,0,6,0,1.4,18.0,151.0,186,0.14201183431952663
Morten Frendrup,Mediocentro,23,"1,78m",dk DEN,Genoa,37,36,3145,2,5,7,2,0,0,6,0,1.7,36.0,105.0,178,0.20031796502384738
Berkan Kutlu,Mediocentro,26,"1,86m",tr TUR,Genoa,6,0,199,0,0,0,0,0,0,0,0,0.2,4.0,5.0,186,0.0
Kevin Strootman,Mediocentro,34,"1,86m",nl NED,Genoa,27,15,1207,0,2,2,0,0,0,4,0,0.1,13.0,61.0,186,0.14913007456503727
Ruslan Malinovskyi,Mediocentro ofensivo,31,"1,81m",ua UKR,Genoa,28,18,1544,4,1,5,4,0,0,7,0,1.1,24.0,83.0,181,0.2914507772020726
Christos Papadopoulos,Mediocentro ofensivo,19,"1,88m",gr GRE,Genoa,1,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,188,0.0
Junior Messias,Extremo derecho,33,"1,74m",br BRA,Genoa,18,13,1053,1,0,1,1,0,0,0,0,1.6,35.0,29.0,174,0.08547008547008547
Seydou Fini,Extremo derecho,18,"1,78m",it ITA,Genoa,3,0,35,0,0,0,0,0,0,0,0,0.1,1.0,0.0,178,0.0
Mateo Retegui,Delantero centro,25,"1,86m",it ITA,Genoa,29,26,2216,7,2,9,6,1,1,5,0,5.8,18.0,17.0,186,0.3655234657039711
Caleb Ekuban,Delantero centro,30,"1,82m",gh GHA,Genoa,29,10,1131,4,1,5,4,0,0,0,0,2.9,14.0,15.0,182,0.3978779840848806
Yann Sommer,Portero,35,"1,83m",ch SUI,Inter,34,34,3060,0,0,0,0,0,0,1,0,0.0,0.0,0.0,183,0.0
Emil Audero,Portero,27,"1,92m",it ITA,Inter,4,4,337,0,0,0,0,0,0,0,0,0.0,0.0,0.0,192,0.0
Raffaele Di Gennaro,Portero,30,"1,88m",it ITA,Inter,1,0,23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,188,0.0
Alessandro Bastoni,Defensa central,25,"1,90m",it ITA,Inter,28,28,2268,1,3,4,1,0,0,5,0,1.2,63.0,142.0,190,0.15873015873015872
Benjamin Pavard,Defensa central,28,"1,86m",fr FRA,Inter,23,21,1672,0,2,2,0,0,0,6,0,0.7,25.0,89.0,186,0.10765550239234449
Stefan de Vrij,Defensa central,32,"1,89m",nl NED,Inter,25,17,1586,1,0,1,1,0,0,0,0,0.6,6.0,43.0,189,0.05674653215636822
Francesco Acerbi,Defensa central,36,"1,92m",it ITA,Inter,29,26,2388,3,1,4,3,0,0,1,0,1.6,21.0,87.0,192,0.1507537688442211
Federico Dimarco,Lateral izquierdo,26,"1,75m",it ITA,Inter,30,29,2077,5,6,11,5,0,0,0,0,2.9,51.0,100.0,175,0.4766490129995185
Denzel Dumfries,Lateral derecho,28,"1,88m",nl NED,Inter,31,19,1639,4,4,8,4,0,0,2,1,2.3,50.0,51.0,188,0.43929225137278827
Matteo Darmian,Lateral derecho,34,"1,83m",it ITA,Inter,33,27,2404,2,1,3,2,0,0,2,0,1.2,18.0,72.0,183,0.11231281198003328
Hakan Çalhanoğlu,Pivote,30,"1,78m",tr TUR,Inter,32,32,2556,13,3,16,3,10,10,5,0,10.1,45.0,186.0,178,0.5633802816901409
Kristjan Asllani,Pivote,22,"1,75m",al ALB,Inter,23,6,787,1,2,3,1,0,0,1,0,0.6,5.0,32.0,175,0.3430749682337993
Nicolò Barella,Mediocentro,27,"1,75m",it ITA,Inter,37,34,2846,2,3,5,2,0,0,7,0,5.1,68.0,278.0,175,0.15811665495432184
Henrikh Mkhitaryan,Mediocentro,35,"1,77m",am ARM,Inter,36,35,2785,2,8,10,2,0,0,4,0,3.6,92.0,192.0,177,0.32315978456014366
Davy Klaassen,Mediocentro,31,"1,79m",nl NED,Inter,13,1,206,0,0,0,0,0,0,1,0,0.1,1.0,7.0,179,0.0
Stefano Sensi,Mediocentro,28,"1,68m",it ITA,Inter,4,0,46,0,1,1,0,0,0,0,0,0.1,3.0,3.0,168,1.956521739130435
Ebenezer Akinsanmiro,Mediocentro,19,"1,84m",ng NGA,Inter,1,0,15,0,0,0,0,0,0,0,0,0.0,0.0,2.0,184,0.0
Juan Cuadrado,Interior derecho,36,"1,76m",co COL,Inter,10,0,267,0,2,2,0,0,0,1,0,0.2,17.0,11.0,176,0.6741573033707865
Tajon Buchanan,Extremo derecho,25,"1,83m",ca CAN,Inter,10,0,161,1,0,1,1,0,0,0,0,0.2,12.0,4.0,183,0.5590062111801242
Lautaro Martínez,Delantero centro,26,"1,74m",ar ARG,Inter,33,31,2656,24,3,27,22,2,3,5,0,17.6,54.0,80.0,174,0.9149096385542168
Marcus Thuram,Delantero centro,26,"1,92m",fr FRA,Inter,35,34,2687,13,7,20,13,0,0,3,0,14.3,68.0,47.0,192,0.6698920729438035
Alexis Sánchez,Delantero centro,35,"1,69m",cl CHI,Inter,23,6,763,2,5,7,1,1,1,0,0,3.2,16.0,53.0,169,0.8256880733944955
Mattia Perin,Portero,31,"1,88m",it ITA,Juventus,3,3,225,0,0,0,0,0,0,0,0,0.0,0.0,0.0,188,0.0
Carlo Pinsoglio,Portero,34,"1,94m",it ITA,Juventus,1,0,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,194,0.0
Federico Gatti,Defensa central,26,"1,90m",it ITA,Juventus,32,30,2637,4,0,4,4,0,0,7,0,5.5,52.0,122.0,190,0.13651877133105803
Tiago Djaló,Defensa central,24,"1,90m",pt POR,Juventus,1,0,17,0,0,0,0,0,0,0,0,0.0,1.0,2.0,190,0.0
Danilo,Defensa central,32,"1,84m",br BRA,Juventus,29,27,2452,1,1,2,1,0,0,7,0,1.3,18.0,161.0,184,0.0734094616639478
Daniele Rugani,Defensa central,29,"1,90m",it ITA,Juventus,17,13,1187,2,0,2,2,0,0,2,0,1.6,2.0,46.0,190,0.15164279696714406
Andrea Cambiaso,Lateral izquierdo,24,"1,82m",it ITA,Juventus,34,28,2372,2,3,5,2,0,0,10,0,2.2,87.0,71.0,182,0.1897133220910624
Alex Sandro,Lateral izquierdo,33,"1,80m",br BRA,Juventus,16,8,721,1,0,1,1,0,0,1,0,0.4,16.0,43.0,180,0.12482662968099861
Mattia De Sciglio,Lateral derecho,31,"1,83m",it ITA,Juventus,1,1,45,0,0,0,0,0,0,0,0,0.0,0.0,3.0,183,0.0
Manuel Locatelli,Pivote,26,"1,85m",it ITA,Juventus,36,34,3008,1,4,5,1,0,0,6,0,1.3,21.0,232.0,185,0.14960106382978722
Adrien Rabiot,Mediocentro,29,"1,91m",fr FRA,Juventus,31,30,2651,5,3,8,5,0,0,8,0,3.5,72.0,120.0,191,0.2715956242927197
Weston McKennie,Mediocentro,25,"1,85m",us USA,Juventus,34,29,2594,0,7,7,0,0,0,6,0,3.0,64.0,92.0,185,0.24286815728604472
Fabio Miretti,Mediocentro,20,"1,80m",it ITA,Juventus,25,16,1103,1,1,2,1,0,0,3,0,1.2,22.0,43.0,180,0.16319129646418856
Nicolò Fagioli,Mediocentro,23,"1,78m",it ITA,Juventus,8,4,437,0,2,2,0,0,0,1,0,0.4,8.0,23.0,178,0.41189931350114417
Carlos Alcaraz,Mediocentro,21,"1,76m",ar ARG,Juventus,10,3,380,0,1,1,0,0,0,0,0,0.4,6.0,27.0,176,0.23684210526315788
Joseph Nonge,Mediocentro,19,"1,84m",be BEL,Juventus,2,0,24,0,0,0,0,0,0,1,0,0.0,1.0,2.0,184,0.0
Paul Pogba,Mediocentro,31,"1,91m",fr FRA,Juventus,2,0,54,0,0,0,0,0,0,0,0,0.0,1.0,5.0,191,0.0
Filip Kostić,Interior izquierdo,31,"1,84m",rs SRB,Juventus,29,26,1815,0,4,4,0,0,0,2,0,0.7,64.0,88.0,184,0.1983471074380165
Nikola Sekulov,Mediocentro ofensivo,22,"1,85m",it ITA,Juventus,1,0,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,185,0.0
Kenan Yıldız,Extremo izquierdo,19,"1,87m",tr TUR,Juventus,27,9,952,2,0,2,2,0,0,3,0,1.6,32.0,40.0,187,0.18907563025210083
Samuel Iling-Junior,Extremo izquierdo,20,"1,82m",eng ENG,Juventus,24,4,810,1,2,3,1,0,0,1,0,0.7,29.0,25.0,182,0.3333333333333333
Federico Chiesa,Extremo derecho,26,"1,75m",it ITA,Juventus,33,25,2197,9,2,11,8,1,1,1,0,6.4,111.0,70.0,175,0.45061447428311335
Timothy Weah,Extremo derecho,24,"1,83m",us USA,Juventus,30,12,1258,0,1,1,0,0,0,5,0,1.5,35.0,48.0,183,0.07154213036565978
Dušan Vlahović,Delantero centro,24,"1,90m",rs SRB,Juventus,33,27,2307,16,4,20,14,2,4,8,1,16.6,36.0,46.0,190,0.7802340702210664
Moise Kean,Delantero centro,24,"1,83m",it ITA,Juventus,19,8,654,0,0,0,0,0,0,2,0,2.1,12.0,6.0,183,0.0
Arkadiusz Milik,Delantero centro,30,"1,86m",pl POL,Juventus,32,7,919,4,1,5,4,0,0,2,1,5.1,12.0,22.0,186,0.4896626768226333
Leonardo Cerri,Delantero centro,21,"1,98m",it ITA,Juventus,1,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,198,0.0
Ivan Provedel,Portero,30,"1,94m",it ITA,Lazio,30,30,2699,0,0,0,0,0,0,0,0,0.0,0.0,3.0,194,0.0
Christos Mandas,Portero,22,"1,89m",gr GRE,Lazio,9,8,721,0,0,0,0,0,0,0,0,0.0,0.0,0.0,189,0.0
Alessio Romagnoli,Defensa central,29,"1,85m",it ITA,Lazio,29,26,2411,0,0,0,0,0,0,9,0,0.6,7.0,87.0,185,0.0
Nicolò Casale,Defensa central,26,"1,91m",it ITA,Lazio,20,16,1559,0,0,0,0,0,0,5,0,0.9,20.0,49.0,191,0.0
Mario Gila,Defensa central,23,"1,85m",es ESP,Lazio,21,21,1809,0,0,0,0,0,0,4,1,0.5,21.0,93.0,185,0.0
Patric,Defensa central,31,"1,84m",es ESP,Lazio,20,19,1608,2,0,2,2,0,0,4,0,1.4,3.0,72.0,184,0.11194029850746269
Elseid Hysaj,Lateral derecho,30,"1,82m",al ALB,Lazio,22,11,1199,0,0,0,0,0,0,2,0,0.2,27.0,51.0,182,0.0
Danilo Cataldi,Pivote,29,"1,80m",it ITA,Lazio,28,15,1361,1,0,1,1,0,0,8,0,0.4,9.0,69.0,180,0.06612784717119766
Matías Vecino,Mediocentro,32,"1,87m",uy URU,Lazio,31,8,1153,6,1,7,6,0,0,8,0,3.7,16.0,74.0,187,0.5464006938421508
Manuel Lazzari,Interior derecho,30,"1,74m",it ITA,Lazio,24,19,1671,0,2,2,0,0,0,4,1,1.0,73.0,62.0,174,0.10771992818671454
Daichi Kamada,Mediocentro ofensivo,27,"1,80m",jp JPN,Lazio,29,17,1544,2,2,4,2,0,0,3,0,1.8,40.0,96.0,180,0.23316062176165803
Luis Alberto,Mediocentro ofensivo,31,"1,83m",es ESP,Lazio,33,29,2311,5,7,12,5,0,0,7,0,4.7,83.0,212.0,183,0.46733016010385114
Mattia Zaccagni,Extremo izquierdo,29,"1,77m",it ITA,Lazio,28,24,1956,6,1,7,6,0,0,8,0,4.7,88.0,55.0,177,0.3220858895705521
Gustav Isaksen,Extremo derecho,23,"1,81m",dk DEN,Lazio,28,12,1074,3,1,4,3,0,0,3,0,1.6,36.0,21.0,181,0.33519553072625696
Felipe Anderson,Extremo derecho,31,"1,75m",br BRA,Lazio,38,33,2770,5,6,11,5,0,0,3,0,4.4,108.0,126.0,175,0.3574007220216606
Pedro,Extremo derecho,36,"1,67m",es ESP,Lazio,33,5,816,1,1,2,1,0,0,4,0,1.5,31.0,33.0,167,0.22058823529411764
Ciro Immobile,Delantero centro,34,"1,85m",it ITA,Lazio,31,21,1652,7,1,8,3,4,4,8,0,9.7,19.0,39.0,185,0.43583535108958843
Wladimiro Falcone,Portero,29,"1,95m",it ITA,Lecce,38,38,3420,0,0,0,0,0,0,0,0,0.0,0.0,1.0,195,0.0
Marin Pongračić,Defensa central,26,"1,93m",hr CRO,Lecce,36,36,3219,0,0,0,0,0,0,10,1,1.2,45.0,134.0,193,0.0
Federico Baschirotto,Defensa central,27,"1,87m",it ITA,Lecce,37,37,3294,0,1,1,0,0,0,3,1,1.7,28.0,96.0,187,0.0273224043715847
Ahmed Touba,Defensa central,26,"1,90m",dz ALG,Lecce,6,3,277,0,0,0,0,0,0,1,0,0.0,0.0,2.0,190,0.0
Patrick Dorgu,Lateral izquierdo,19,"1,85m",dk DEN,Lecce,32,17,1564,2,0,2,2,0,0,6,0,2.0,37.0,49.0,185,0.11508951406649617
Antonino Gallo,Lateral izquierdo,24,"1,83m",it ITA,Lecce,35,30,2490,0,3,3,0,0,0,2,0,0.5,69.0,125.0,183,0.10843373493975904
Valentin Gendrey,Lateral derecho,24,"1,79m",fr FRA,Lecce,37,35,3044,2,3,5,2,0,0,5,0,1.6,76.0,116.0,179,0.1478318002628121
Lorenzo Venuti,Lateral derecho,29,"1,79m",it ITA,Lecce,14,3,364,0,0,0,0,0,0,1,0,0.1,7.0,16.0,179,0.0
Ylber Ramadani,Pivote,28,"1,85m",al ALB,Lecce,34,34,2970,1,0,1,1,0,0,13,0,1.0,36.0,121.0,185,0.030303030303030304
Alexis Blin,Pivote,27,"1,86m",fr FRA,Lecce,31,16,1642,0,2,2,0,0,0,4,0,1.1,7.0,60.0,186,0.10962241169305725
Youssef Maleh,Mediocentro,25,"1,79m",ma MAR,Empoli,34,30,2602,0,1,1,0,0,0,11,0,1.6,17.0,117.0,179,0.034588777863182166
Mohamed Kaba,Mediocentro,22,"1,85m",fr FRA,Lecce,23,15,1378,0,0,0,0,0,0,4,1,1.2,14.0,60.0,185,0.0
Hamza Rafia,Mediocentro,25,"1,81m",tn TUN,Lecce,28,17,1204,1,0,1,1,0,0,4,0,0.8,15.0,46.0,181,0.07475083056478406
Medon Berisha,Mediocentro,20,"1,86m",al ALB,Lecce,6,2,205,0,0,0,0,0,0,0,0,0.2,3.0,7.0,186,0.0
Lameck Banda,Extremo izquierdo,23,"1,69m",zm ZAM,Lecce,21,17,1350,2,4,6,2,0,0,5,1,3.6,70.0,22.0,169,0.4
Federico Di Francesco,Extremo izquierdo,30,"1,71m",it ITA,Lecce,2,0,15,1,0,1,1,0,0,0,0,0.1,1.0,1.0,171,6.0
Nicola Sansone,Extremo izquierdo,32,"1,74m",it ITA,Lecce,25,4,767,2,2,4,2,0,0,4,0,2.8,15.0,36.0,174,0.46936114732724904
Pontus Almqvist,Extremo derecho,24,"1,83m",se SWE,Lecce,30,25,2107,2,1,3,2,0,0,5,0,2.3,72.0,32.0,183,0.12814428096820124
Santiago Pierotti,Extremo derecho,23,"1,89m",ar ARG,Lecce,11,0,200,0,2,2,0,0,0,0,0,0.5,4.0,5.0,189,0.8999999999999999
Jeppe Corfitzen,Extremo derecho,19,"1,79m",dk DEN,Lecce,1,0,9,0,0,0,0,0,0,0,0,0.0,1.0,0.0,179,0.0
Nikola Krstović,Delantero centro,24,"1,85m",me MNE,Lecce,35,30,2373,7,1,8,6,1,3,4,1,11.6,32.0,52.0,185,0.3034134007585335
Alessandro Sorrentino,Portero,22,"1,90m",it ITA,Monza,7,5,548,0,0,0,0,0,0,0,0,0.0,0.0,0.0,190,0.0
Andrea Carboni,Defensa central,23,"1,87m",it ITA,Monza,21,16,1487,1,0,1,1,0,0,1,0,1.2,13.0,46.0,187,0.0605245460659045
Pablo Marí,Defensa central,30,"1,93m",es ESP,Monza,34,30,2615,0,0,0,0,0,0,7,0,0.4,2.0,62.0,193,0.0
Armando Izzo,Defensa central,32,"1,83m",it ITA,Monza,23,20,1650,0,0,0,0,0,0,9,0,0.7,15.0,59.0,183,0.0
Luca Caldirola,Defensa central,33,"1,86m",it ITA,Monza,29,23,2141,1,1,2,1,0,0,7,1,0.5,10.0,56.0,186,0.08407286314806166
Davide Bettella,Defensa central,24,"1,85m",it ITA,Monza,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,185,0.0
Danilo D'Ambrosio,Defensa central,35,"1,80m",it ITA,Monza,24,16,1536,0,0,0,0,0,0,5,1,0.7,12.0,61.0,180,0.0
Samuele Birindelli,Lateral derecho,24,"1,76m",it ITA,Monza,35,22,2013,0,2,2,0,0,0,7,0,1.1,63.0,70.0,176,0.08941877794336811
Pedro Pereira,Lateral derecho,26,"1,85m",pt POR,Monza,23,9,841,0,2,2,0,0,0,3,0,0.2,20.0,43.0,185,0.2140309155766944
Giulio Donati,Lateral derecho,34,"1,78m",it ITA,Monza,4,0,36,0,0,0,0,0,0,2,0,0.0,0.0,3.0,178,0.0
Matteo Pessina,Mediocentro,27,"1,87m",it ITA,Monza,37,37,3222,6,3,9,2,4,5,5,1,6.3,69.0,190.0,187,0.25139664804469275
Warren Bondo,Mediocentro,20,"1,77m",fr FRA,Monza,25,14,1475,1,1,2,1,0,0,9,0,0.9,31.0,43.0,177,0.12203389830508474
Roberto Gagliardini,Mediocentro,30,"1,88m",it ITA,Monza,33,29,2360,1,2,3,1,0,0,5,0,2.9,38.0,120.0,188,0.11440677966101695
Patrick Ciurria,Interior derecho,29,"1,78m",it ITA,Monza,22,18,1598,0,1,1,0,0,0,2,0,1.5,41.0,68.0,178,0.05632040050062578
Andrea Colpani,Mediocentro ofensivo,25,"1,84m",it ITA,Monza,38,36,2657,8,4,12,8,0,0,1,0,4.8,90.0,120.0,184,0.40647346631539333
Samuele Vignato,Mediocentro ofensivo,20,"1,72m",it ITA,Monza,10,3,343,1,0,1,1,0,0,2,0,1.7,13.0,13.0,172,0.2623906705539359
Alessio Zerbin,Extremo izquierdo,25,"1,82m",it ITA,Monza,13,7,684,0,1,1,0,0,0,2,1,0.4,17.0,20.0,182,0.13157894736842105
Andrea Ferraris,Extremo izquierdo,21,-,it ITA,Monza,1,0,10,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,0.0
Papu Gómez,Extremo izquierdo,36,"1,67m",ar ARG,Monza,2,0,41,0,0,0,0,0,0,0,0,0.0,2.0,3.0,167,0.0
Dany Mota,Mediapunta,26,"1,80m",pt POR,Monza,34,24,2049,4,3,7,4,0,0,3,0,3.6,112.0,57.0,180,0.3074670571010249
Gianluca Caprari,Mediapunta,30,"1,71m",it ITA,Monza,6,4,285,0,0,0,0,0,0,0,0,0.7,11.0,15.0,171,0.0
Mirko Marić,Delantero centro,29,"1,88m",hr CRO,Monza,10,1,287,1,0,1,1,0,0,0,1,0.9,2.0,4.0,188,0.313588850174216
Alex Meret,Portero,27,"1,90m",it ITA,Napoli,31,31,2773,0,0,0,0,0,0,0,0,0.0,0.0,0.0,190,0.0
Pierluigi Gollini,Portero,29,"1,94m",it ITA,Napoli,7,7,630,0,0,0,0,0,0,0,0,0.0,0.0,0.0,194,0.0
Amir Rrahmani,Defensa central,30,"1,92m",xk KVX,Napoli,30,30,2600,3,0,3,3,0,0,5,0,2.2,19.0,113.0,192,0.10384615384615384
Natan,Defensa central,23,"1,88m",br BRA,Napoli,14,11,952,0,0,0,0,0,0,3,1,0.4,15.0,34.0,188,0.0
Juan Jesus,Defensa central,33,"1,85m",br BRA,Napoli,24,23,2116,1,0,1,1,0,0,7,0,1.3,6.0,82.0,185,0.04253308128544423
